text,command,intent
check emails,check_email,immediate
abre Excel,open_excel,immediate
quiero abrir una hoja de cálculo please,open_excel,immediate
detén la música,stop_music,immediate
update Windows,update_system,scheduled
abre la terminal,open_terminal,immediate
raise the volume,volume_up,immediate
silenciar todo,mute_sound,immediate
check mail in the morning,check_email,scheduled
restart at 3 AM,restart_computer,scheduled
sube el volumen,volume_up,immediate
close the active window,close_window,immediate
update Windows,update_system,scheduled
play some music,play_music,immediate
open Word at 7 AM please,open_word,scheduled
play some music,play_music,immediate
abre Excel mañana please,open_excel,scheduled
baja el volumen,volume_down,immediate
launch terminal now,open_terminal,immediate
backup my data asap,run_backup,scheduled
reinicia el PC,restart_computer,immediate
close all windows asap,close_window,immediate
restart at 3 AM when possible,restart_computer,scheduled
schedule shutdown for tonight please,shutdown_computer,scheduled
sube el volumen a las 10 PM,volume_up,scheduled
sube el volumen a las 10 PM,volume_up,scheduled
pausa la canción,pause_music,immediate
launch terminal now,open_terminal,immediate
abre la terminal,open_terminal,immediate
turn up the volume,volume_up,immediate
quiero que abras Edge ahora mismo,open_browser,immediate
launch Microsoft Word,open_word,immediate
quiero escuchar algo ahora,play_music,immediate
open Word at 7 AM,open_word,scheduled
abre Excel,open_excel,immediate
quiero abrir consola when possible,open_terminal,immediate
abre Firefox a las 8 PM,open_browser,scheduled
abre Excel,open_excel,immediate
check mail in the morning asap,check_email,scheduled
apaga el computador,shutdown_computer,immediate
haz una actualización asap,update_system,immediate
open spreadsheet,open_excel,immediate
desactiva el silencio,unmute_sound,immediate
run system update now,update_system,scheduled
pause the track asap,pause_music,immediate
take screenshot at 9 AM,take_screenshot,scheduled
take screenshot at 9 AM,take_screenshot,scheduled
open inbox now ahora mismo,check_email,immediate
pausa la canción,pause_music,immediate
open Word at 7 AM,open_word,scheduled
open Word document,open_word,immediate
reinicia el PC,restart_computer,immediate
launch terminal now,open_terminal,immediate
schedule shutdown for tonight,shutdown_computer,scheduled
shut down PC,shutdown_computer,immediate
launch terminal now,open_terminal,immediate
take screenshot at 9 AM,take_screenshot,scheduled
lower the volume,volume_down,immediate
run backup at midnight ahora mismo,run_backup,scheduled
stop all songs,stop_music,immediate
para la música ya,stop_music,immediate
detén la música más tarde when possible,stop_music,scheduled
reboot system,restart_computer,immediate
quiero apagar todo ya,shutdown_computer,immediate
backup my data,run_backup,scheduled
launch terminal now ahora mismo,open_terminal,immediate
mute the system tonight,mute_sound,scheduled
reboot system,restart_computer,immediate
abre Excel,open_excel,immediate
update at 11 PM,update_system,scheduled
backup my data when possible,run_backup,scheduled
restart at 3 AM,restart_computer,scheduled
revisa mi correo,check_email,immediate
stop playing music,stop_music,immediate
para la música ya,stop_music,immediate
adjust brightness at night,adjust_brightness,scheduled
backup my data,run_backup,scheduled
sube el volumen a las 10 PM,volume_up,scheduled
pon música a las 6 de la tarde when possible,play_music,scheduled
restart computer ahora mismo,restart_computer,immediate
turn up the volume,volume_up,immediate
abre Firefox a las 8 PM,open_browser,scheduled
lower the volume,volume_down,immediate
unmute at 9 AM,unmute_sound,scheduled
detén la música más tarde,stop_music,scheduled
quiero que abras Edge,open_browser,immediate
adjust brightness at night,adjust_brightness,scheduled
close the active window asap,close_window,immediate
reproduce mi playlist,play_music,immediate
bloquea el sistema más tarde,lock_screen,scheduled
screenshot now,take_screenshot,immediate
run backup at midnight,run_backup,scheduled
silencia el sonido when possible,mute_sound,immediate
restart computer,restart_computer,immediate
detén la música,stop_music,immediate
abre Excel,open_excel,immediate
check emails,check_email,immediate
open inbox now please,check_email,immediate
run system update now,update_system,scheduled
bloquea el sistema más tarde,lock_screen,scheduled
open terminal at 10 AM,open_terminal,scheduled
haz un respaldo,run_backup,immediate
update at 11 PM when possible,update_system,scheduled
toma una captura,take_screenshot,immediate
detén la música más tarde,stop_music,scheduled
apaga el computador,shutdown_computer,immediate
open inbox now when possible,check_email,immediate
mute all,mute_sound,immediate
detén la música más tarde ahora mismo,stop_music,scheduled
stop all songs,stop_music,immediate
run backup at midnight,run_backup,scheduled
stop all songs when possible,stop_music,immediate
ajusta el brillo when possible,adjust_brightness,immediate
run system backup,run_backup,immediate
abre Excel mañana,open_excel,scheduled
restart at 3 AM asap,restart_computer,scheduled
detén la música un momento,pause_music,immediate
stop all songs,stop_music,immediate
quiero abrir consola,open_terminal,immediate
pause the track,pause_music,immediate
close the active window,close_window,immediate
reinicia el PC,restart_computer,immediate
pause the track please,pause_music,immediate
update at 11 PM,update_system,scheduled
run system update now,update_system,scheduled
open Excel file now,open_excel,immediate
por favor cerrar esto después please,close_window,scheduled
run system backup,run_backup,immediate
pausar la playlist en una hora,pause_music,immediate
abre Excel mañana,open_excel,scheduled
restart at 3 AM,restart_computer,scheduled
